City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Oussouye,SN,71.78,broken clouds,12.485,-16.5469,
4,Geraldton,AU,80.13,clear sky,-28.7667,114.6,
5,Busselton,AU,70.05,overcast clouds,-33.65,115.3333,
6,Kloulklubed,PW,82.36,overcast clouds,7.0419,134.2556,
7,Bredasdorp,ZA,71.28,overcast clouds,-34.5322,20.0403,
8,Palmar,CR,77.07,clear sky,9.8728,-84.4553,
9,San Policarpo,PH,80.28,clear sky,12.1791,125.5072,
10,Rikitea,PF,77.27,overcast clouds,-23.1203,-134.9692,
11,Mataura,NZ,72.48,broken clouds,-46.1927,168.8643,
12,Georgetown,MY,80.89,few clouds,5.4112,100.3354,
13,Vaini,TO,80.89,light rain,-21.2,-175.2,
14,Airai,TL,69.24,overcast clouds,-8.9266,125.4092,
19,Avarua,CK,75.25,light rain,-21.2078,-159.775,
21,Butaritari,KI,81.95,light rain,3.0707,172.7902,
22,Monteagudo,BO,71.96,light rain,-19.8167,-63.9833,
24,Hithadhoo,MV,82.04,clear sky,-0.6,73.0833,
26,Cape Town,ZA,71.35,overcast clouds,-33.9258,18.4232,
28,Guanagazapa,GT,77.76,few clouds,14.2253,-90.6433,
29,East London,ZA,73.31,overcast clouds,-33.0153,27.9116,
30,Simpang,ID,78.62,overcast clouds,-1.2667,104.0833,
31,Lompoc,US,65.12,few clouds,34.6391,-120.4579,
32,Hobart,AU,81.27,few clouds,-42.8794,147.3294,
33,Charters Towers,AU,87.3,clear sky,-20.1,146.2667,
34,Sokoto,NG,66.02,clear sky,13.0609,5.239,
36,Hermanus,ZA,71.8,overcast clouds,-34.4187,19.2345,
43,Paracuru,BR,82.42,overcast clouds,-3.41,-39.0306,
45,Tena,EC,70.9,light rain,-0.9833,-77.8167,
46,Saint-Philippe,RE,74.79,broken clouds,-21.3585,55.7679,
47,Vao,NC,79.41,overcast clouds,-22.6667,167.4833,
48,Pandharpur,IN,66.4,clear sky,17.6667,75.3333,
49,Kathu,TH,84.69,clear sky,7.9178,98.3332,
50,Alofi,NU,73.36,moderate rain,-19.0595,-169.9187,
53,Kapaa,US,79.12,few clouds,22.0752,-159.319,
61,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,
62,Waingapu,ID,83.62,overcast clouds,-9.6567,120.2641,
63,Atuona,PF,78.06,light rain,-9.8,-139.0333,
64,Port Elizabeth,ZA,67.1,overcast clouds,-33.918,25.5701,
65,Dabakala,CI,74.48,broken clouds,8.3667,-4.4333,
66,Hilo,US,79.25,few clouds,19.7297,-155.09,
69,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,
74,Carnarvon,AU,83.8,clear sky,-24.8667,113.6333,
75,Finschhafen,PG,86.36,broken clouds,-6.6024,147.8681,
76,Port Alfred,ZA,72.77,overcast clouds,-33.5906,26.891,
77,Lorengau,PG,80.94,overcast clouds,-2.0226,147.2712,
78,Esperance,AU,69.64,scattered clouds,-33.8667,121.9,
79,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,
84,Namibe,AO,70.92,broken clouds,-15.1961,12.1522,
85,Piacabucu,BR,79.11,broken clouds,-10.4056,-36.4344,
86,Souillac,MU,79.18,light rain,-20.5167,57.5167,
88,San Rafael,AR,77.65,clear sky,-34.6177,-68.3301,
89,Rocha,UY,67.21,clear sky,-34.4833,-54.3333,
91,Sao Filipe,CV,71.44,overcast clouds,14.8961,-24.4956,
