City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Karratha,AU,-20.7377,116.8463,93.63,39,57,12.28,broken clouds
1,Oussouye,SN,12.485,-16.5469,71.78,60,72,10.85,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,48.31,61,75,29.93,broken clouds
3,Narsaq,GL,60.9167,-46.05,18.59,75,100,18.68,snow
4,Geraldton,AU,-28.7667,114.6,80.13,65,0,14.97,clear sky
5,Busselton,AU,-33.65,115.3333,70.05,51,100,18.61,overcast clouds
6,Kloulklubed,PW,7.0419,134.2556,82.36,71,100,14.9,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,71.28,87,100,10.89,overcast clouds
8,Palmar,CR,9.8728,-84.4553,77.07,82,7,3.13,clear sky
9,San Policarpo,PH,12.1791,125.5072,80.28,80,8,4.0,clear sky
10,Rikitea,PF,-23.1203,-134.9692,77.27,65,100,4.88,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,72.48,48,72,2.26,broken clouds
12,Georgetown,MY,5.4112,100.3354,80.89,84,20,1.14,few clouds
13,Vaini,TO,-21.2,-175.2,80.89,74,100,12.03,light rain
14,Airai,TL,-8.9266,125.4092,69.24,70,98,5.41,overcast clouds
15,Roebourne,AU,-20.7833,117.1333,97.77,30,48,5.79,scattered clouds
16,Grindavik,IS,63.8424,-22.4338,28.87,64,75,29.93,broken clouds
17,Carballo,ES,43.213,-8.691,44.87,91,0,4.14,clear sky
18,Bayji,IQ,34.9311,43.487,45.36,65,0,6.24,clear sky
19,Avarua,CK,-21.2078,-159.775,75.25,94,100,6.91,light rain
20,Tuktoyaktuk,CA,69.4541,-133.0374,-4.18,96,100,16.96,overcast clouds
21,Butaritari,KI,3.0707,172.7902,81.95,76,79,20.56,light rain
22,Monteagudo,BO,-19.8167,-63.9833,71.96,50,100,1.86,light rain
23,Upernavik,GL,72.7868,-56.1549,-6.56,98,100,2.8,overcast clouds
24,Hithadhoo,MV,-0.6,73.0833,82.04,71,2,11.07,clear sky
25,Zhuhai,CN,22.2769,113.5678,58.98,76,40,19.57,scattered clouds
26,Cape Town,ZA,-33.9258,18.4232,71.35,79,100,3.0,overcast clouds
27,Haines Junction,CA,60.7522,-137.5108,-1.07,99,38,3.31,scattered clouds
28,Guanagazapa,GT,14.2253,-90.6433,77.76,67,19,2.21,few clouds
29,East London,ZA,-33.0153,27.9116,73.31,85,100,12.33,overcast clouds
30,Simpang,ID,-1.2667,104.0833,78.62,89,92,3.36,overcast clouds
31,Lompoc,US,34.6391,-120.4579,65.12,72,20,5.75,few clouds
32,Hobart,AU,-42.8794,147.3294,81.27,56,20,1.01,few clouds
33,Charters Towers,AU,-20.1,146.2667,87.3,50,2,8.32,clear sky
34,Sokoto,NG,13.0609,5.239,66.02,12,5,14.14,clear sky
35,San Patricio,US,28.017,-97.5169,64.81,75,100,10.45,overcast clouds
36,Hermanus,ZA,-34.4187,19.2345,71.8,83,100,14.83,overcast clouds
37,Beringovskiy,RU,63.05,179.3167,-5.67,96,100,10.78,overcast clouds
38,Najran,SA,17.4924,44.1277,54.25,31,2,3.24,clear sky
39,Zhigansk,RU,66.7697,123.3711,-33.27,100,96,1.23,overcast clouds
40,Clyde River,CA,70.4692,-68.5914,-25.37,68,40,3.44,scattered clouds
41,Syedove,UA,47.0768,38.156,33.01,97,100,17.78,light snow
42,Opuwo,NA,-18.0607,13.84,62.1,53,100,4.59,overcast clouds
43,Paracuru,BR,-3.41,-39.0306,82.42,81,93,12.55,overcast clouds
44,Qinhuangdao,CN,39.9317,119.5883,28.8,90,95,8.16,light snow
45,Tena,EC,-0.9833,-77.8167,70.9,98,100,3.0,light rain
46,Saint-Philippe,RE,-21.3585,55.7679,74.79,86,52,10.54,broken clouds
47,Vao,NC,-22.6667,167.4833,79.41,83,92,7.27,overcast clouds
48,Pandharpur,IN,17.6667,75.3333,66.4,30,0,5.3,clear sky
49,Kathu,TH,7.9178,98.3332,84.69,82,0,6.73,clear sky
50,Alofi,NU,-19.0595,-169.9187,73.36,89,100,9.15,moderate rain
51,Yellowknife,CA,62.456,-114.3525,-8.59,95,100,8.28,overcast clouds
52,Lagoa,PT,39.05,-27.9833,58.44,74,2,25.26,clear sky
53,Kapaa,US,22.0752,-159.319,79.12,68,20,1.01,few clouds
54,Nikolskoye,RU,59.7035,30.7861,27.39,97,100,5.19,light snow
55,Husavik,IS,66.0449,-17.3389,22.08,60,100,34.4,overcast clouds
56,Bethel,US,41.3712,-73.414,21.49,67,0,0.0,clear sky
57,Ushuaia,AR,-54.8,-68.3,44.26,70,75,23.02,broken clouds
58,Comachuen,MX,19.6167,-101.9,60.89,68,13,2.66,few clouds
59,Port Hardy,CA,50.6996,-127.4199,41.18,81,75,8.05,light intensity shower rain
60,Horsham,GB,51.064,-0.3272,47.71,80,20,16.11,few clouds
61,Cayenne,GF,4.9333,-52.3333,79.09,85,0,1.99,clear sky
62,Waingapu,ID,-9.6567,120.2641,83.62,70,100,16.87,overcast clouds
63,Atuona,PF,-9.8,-139.0333,78.06,78,29,16.6,light rain
64,Port Elizabeth,ZA,-33.918,25.5701,67.1,91,100,8.81,overcast clouds
65,Dabakala,CI,8.3667,-4.4333,74.48,17,77,4.25,broken clouds
66,Hilo,US,19.7297,-155.09,79.25,63,20,3.44,few clouds
